0 0 0 2 2 2 2 2 2 4 4 5 5 7 9 9 10 10 12 12 
0 0 0 0 0 0 2 2 3 2 4 4 5 5 7 8 8 8 10 10 
5 0 0 2 2 0 0 0 0 2 2 3 4 5 6 6 6 8 8 9 
5 3 0 0 0 2 2 2 0 0 2 2 3 4 5 4 4 4 7 8 
5 3 2 2 0 2 4 4 2 0 0 0 0 2 5 3 3 4 4 7 
5 5 3 2 0 2 4 4 3 4 3 2 0 3 2 2 3 4 5 7 
5 5 3 2 0 0 2 4 6 4 3 3 0 1 1 2 3 7 7 5 
7 3 3 2 2 2 2 6 8 7 5 5 3 2 1 3 4 5 5 5 
7 5 3 3 3 5 6 6 7 7 6 5 5 2 1 3 3 3 3 3 
7 5 5 5 3 6 7 7 9 8 8 6 5 3 1 1 1 1 1 1 
8 8 8 7 5 5 7 9 12 10 8 6 5 5 2 2 3 3 3 3 
10 10 8 7 7 7 9 11 12 10 8 6 6 5 2 4 7 5 5 5 
10 11 10 10 7 9 9 11 11 10 10 8 6 5 5 5 7 7 5 7 
11 11 11 12 13 11 11 12 12 12 10 8 6 6 6 6 8 7 9 9 
15 14 12 11 13 11 13 12 14 12 10 10 8 8 8 7 8 8 11 11 
16 15 15 15 13 13 13 15 15 14 12 10 10 10 8 8 8 10 12 13 
18 16 16 15 15 15 15 17 15 15 14 13 12 10 12 10 10 12 12 13 
19 17 17 16 16 16 16 17 17 17 15 13 12 12 12 12 12 12 13 14 
20 20 18 18 18 19 19 19 17 18 16 15 13 14 14 14 12 14 14 16 
22 19 20 20 23 20 20 20 18 18 16 15 16 15 14 14 16 16 16 16 
