0 0 2 5 5 7 7 9 9 11 11 13 13 13 14 14 16 17 18 18 
2 0 2 2 7 5 7 7 9 9 11 11 11 11 13 13 14 16 17 18 
2 0 0 2 5 3 5 8 8 9 11 10 10 11 12 14 14 14 16 16 
2 2 0 0 2 3 5 5 5 9 9 8 10 12 11 12 12 12 14 15 
4 2 2 0 2 2 3 4 5 5 6 8 8 10 12 12 11 12 14 15 
4 4 2 0 0 2 3 5 5 5 6 8 6 8 9 9 11 14 14 15 
6 4 4 2 0 2 2 4 4 4 4 4 4 6 6 8 8 12 12 12 
6 6 6 2 0 0 2 2 2 2 3 3 2 4 6 6 8 10 10 10 
8 8 6 4 2 0 0 0 0 0 2 3 2 4 4 6 6 12 8 10 
9 7 6 4 2 2 2 2 2 0 0 0 0 2 4 7 7 7 8 10 
10 8 7 7 4 4 4 4 2 2 2 2 0 2 5 5 7 7 6 8 
10 9 9 7 5 4 5 4 4 4 4 2 0 0 2 5 6 4 6 6 
11 10 7 7 5 5 5 5 5 6 7 4 2 0 2 5 3 4 4 6 
11 9 9 9 7 7 7 7 8 8 6 2 2 1 1 2 2 3 5 4 
13 11 11 11 9 9 9 9 9 6 6 5 4 2 1 1 1 3 3 4 
13 13 13 11 11 11 9 9 8 9 6 6 4 2 2 2 1 1 3 6 
15 13 15 13 13 11 11 11 9 11 10 8 6 4 2 4 3 1 3 3 
15 17 15 15 13 14 14 12 12 12 12 8 6 8 5 4 3 1 1 3 
19 17 17 15 15 15 14 14 12 15 12 10 8 8 5 4 4 3 1 3 
20 19 17 17 18 18 16 14 16 12 12 10 12 8 8 5 3 3 1 1 
