0: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:55.79123350
61: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
40: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
41: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
20: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
21: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
1: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
2: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
3: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:58.48128475
60: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.48818925
42: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.48818925
23: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.48818925
22: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.48818925
4: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.48818925
24: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.48966100
63: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.49938500
25: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.49938500
62: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.50021500
80: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.50021500
5: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.51347925
44: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.51347925
121: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.52508850
82: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.52508850
120: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.52508850
101: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.52508850
43: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.52508850
81: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:0.52508850
122: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28586225
102: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28586225
83: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28586225
64: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28586225
140: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28764150
161: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28764150
123: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28764150
124: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:2.28764150
